original,nuevo_nombre,nombre_comercial,tipo,tipo_nombre,material,material_nombre,color_codigo,color_nombre,unidad,precio_eur,precio_mostrado,stock,medidas,estado,foto_reemplazada,notas
pendiente_016_002,PEN-000-000-051.webp,,PEN,,000,,000,,051,,Precio pendiente,1,,disponible,,
pendiente_016_003,PEN-000-000-052.webp,,PEN,,000,,000,,052,,Precio pendiente,1,,disponible,,
pendiente_017_001,PEN-001-009-053.webp,,PEN,,001,,009,,053,,Precio pendiente,1,,disponible,,
pendiente_017_002,PEN-001-009-054.webp,,PEN,,001,,009,,054,,Precio pendiente,1,,disponible,,
pendiente_017_003,PEN-001-009-055.webp,,PEN,,001,,009,,055,,Precio pendiente,1,,disponible,,
pendiente_018_001,PEN-000-000-056.webp,,PEN,,000,,000,,056,,Precio pendiente,1,,disponible,,
pendiente_018_002,PEN-000-000-057.webp,,PEN,,000,,000,,057,,Precio pendiente,1,,disponible,,
pendiente_018_003,PEN-000-000-058.webp,,PEN,,000,,000,,058,,Precio pendiente,1,,disponible,,
pendiente_019_001,PEN-005-006-059.webp,,PEN,,005,,006,,059,,Precio pendiente,1,,disponible,,
pendiente_019_002,PEN-005-006-060.webp,,PEN,,005,,006,,060,,Precio pendiente,1,,disponible,,
pendiente_019_003,PEN-005-006-061.webp,,PEN,,005,,006,,061,,Precio pendiente,1,,disponible,,
pendiente_020_001,PEN-002-001-062.webp,,PEN,,002,,001,,062,,Precio pendiente,1,,disponible,,
pendiente_020_002,PEN-002-001-063.webp,,PEN,,002,,001,,063,,Precio pendiente,1,,disponible,,
pendiente_020_003,PEN-002-001-064.webp,,PEN,,002,,001,,064,,Precio pendiente,1,,disponible,,
pendiente_021_001,PEN-001-002-065.webp,,PEN,,001,,002,,065,,Precio pendiente,1,,disponible,,
pendiente_021_002,PEN-001-002-066.webp,,PEN,,001,,002,,066,,Precio pendiente,1,,disponible,,
pendiente_021_003,PEN-001-002-067.webp,,PEN,,001,,002,,067,,Precio pendiente,1,,disponible,,
pendiente_022_001,PEN-001-002-068.webp,,PEN,,001,,002,,068,,Precio pendiente,1,,disponible,,
pendiente_022_002,PEN-001-002-069.webp,,PEN,,001,,002,,069,,Precio pendiente,1,,disponible,,
pendiente_022_003,PEN-001-002-070.webp,,PEN,,001,,002,,070,,Precio pendiente,1,,disponible,,
pendiente_023_001,PEN-001-006-071.webp,,PEN,,001,,006,,071,,Precio pendiente,1,,disponible,,
pendiente_023_002,PEN-001-006-072.webp,,PEN,,001,,006,,072,,Precio pendiente,1,,disponible,,
pendiente_023_003,PEN-001-006-073.webp,,PEN,,001,,006,,073,,Precio pendiente,1,,disponible,,
pendiente_024_001,PEN-001-002-074.webp,,PEN,,001,,002,,074,,Precio pendiente,1,,disponible,,
pendiente_024_002,PEN-001-002-075.webp,,PEN,,001,,002,,075,,Precio pendiente,1,,disponible,,
pendiente_024_003,PEN-001-002-076.webp,,PEN,,001,,002,,076,,Precio pendiente,1,,disponible,,
pendiente_025_001,PEN-001-002-077.webp,,PEN,,001,,002,,077,,Precio pendiente,1,,disponible,,
pendiente_025_002,PEN-001-002-078.webp,,PEN,,001,,002,,078,,Precio pendiente,1,,disponible,,
pendiente_025_003,PEN-001-002-079.webp,,PEN,,001,,002,,079,,Precio pendiente,1,,disponible,,
pendiente_026_001,PEN-001-002-080.webp,,PEN,,001,,002,,080,,Precio pendiente,1,,disponible,,
pendiente_026_002,PEN-001-002-081.webp,,PEN,,001,,002,,081,,Precio pendiente,1,,disponible,,
pendiente_026_003,PEN-001-002-082.webp,,PEN,,001,,002,,082,,Precio pendiente,1,,disponible,,
pendiente_027_001,PEN-001-002-083.webp,,PEN,,001,,002,,083,,Precio pendiente,1,,disponible,,
pendiente_027_002,PEN-001-002-084.webp,,PEN,,001,,002,,084,,Precio pendiente,1,,disponible,,
pendiente_027_003,PEN-001-002-085.webp,,PEN,,001,,002,,085,,Precio pendiente,1,,disponible,,
pendiente_028_001,PEN-001-002-086.webp,,PEN,,001,,002,,086,,Precio pendiente,1,,disponible,,
pendiente_028_002,PEN-001-002-087.webp,,PEN,,001,,002,,087,,Precio pendiente,1,,disponible,,
pendiente_028_003,PEN-001-002-088.webp,,PEN,,001,,002,,088,,Precio pendiente,1,,disponible,,
pendiente_029_001,PEN-001-002-089.webp,,PEN,,001,,002,,089,,Precio pendiente,1,,disponible,,
pendiente_029_002,PEN-001-002-090.webp,,PEN,,001,,002,,090,,Precio pendiente,1,,disponible,,
pendiente_029_003,PEN-001-002-091.webp,,PEN,,001,,002,,091,,Precio pendiente,1,,disponible,,
pendiente_030_001,PEN-001-002-092.webp,,PEN,,001,,002,,092,,Precio pendiente,1,,disponible,,
pendiente_030_002,PEN-001-002-093.webp,,PEN,,001,,002,,093,,Precio pendiente,1,,disponible,,
pendiente_030_003,PEN-001-002-094.webp,,PEN,,001,,002,,094,,Precio pendiente,1,,disponible,,
pendiente_031_001,PEN-002-001-095.webp,,PEN,,002,,001,,095,,Precio pendiente,1,,disponible,,
pendiente_031_002,PEN-002-001-096.webp,,PEN,,002,,001,,096,,Precio pendiente,1,,disponible,,
pendiente_031_003,PEN-002-001-097.webp,,PEN,,002,,001,,097,,Precio pendiente,1,,disponible,,
pendiente_032_001,PEN-001-006-098.webp,,PEN,,001,,006,,098,,Precio pendiente,1,,disponible,,
pendiente_032_002,PEN-001-006-099.webp,,PEN,,001,,006,,099,,Precio pendiente,1,,disponible,,
pendiente_032_003,PEN-001-006-100.webp,,PEN,,001,,006,,100,,Precio pendiente,1,,disponible,,
pendiente_033_001,PEN-001-009-101.webp,,PEN,,001,,009,,101,,Precio pendiente,1,,disponible,,
pendiente_033_002,PEN-001-009-102.webp,,PEN,,001,,009,,102,,Precio pendiente,1,,disponible,,
pendiente_033_003,PEN-001-009-103.webp,,PEN,,001,,009,,103,,Precio pendiente,1,,disponible,,
pendiente_034_001,PEN-002-001-104.webp,,PEN,,002,,001,,104,,Precio pendiente,1,,disponible,,
pendiente_034_002,PEN-002-001-105.webp,,PEN,,002,,001,,105,,Precio pendiente,1,,disponible,,
pendiente_034_003,PEN-002-001-106.webp,,PEN,,002,,001,,106,,Precio pendiente,1,,disponible,,
pendiente_035_001,PEN-001-006-107.webp,,PEN,,001,,006,,107,,Precio pendiente,1,,disponible,,
pendiente_035_002,PEN-001-006-108.webp,,PEN,,001,,006,,108,,Precio pendiente,1,,disponible,,
pendiente_035_003,PEN-001-006-109.webp,,PEN,,001,,006,,109,,Precio pendiente,1,,disponible,,
pendiente_036_001,PEN-001-002-110.webp,,PEN,,001,,002,,110,,Precio pendiente,1,,disponible,,
pendiente_036_002,PEN-001-002-111.webp,,PEN,,001,,002,,111,,Precio pendiente,1,,disponible,,
pendiente_036_003,PEN-001-002-112.webp,,PEN,,001,,002,,112,,Precio pendiente,1,,disponible,,
pendiente_037_001,PEN-001-009-113.webp,,PEN,,001,,009,,113,,Precio pendiente,1,,disponible,,
pendiente_037_002,PEN-001-009-114.webp,,PEN,,001,,009,,114,,Precio pendiente,1,,disponible,,
pendiente_037_003,PEN-001-009-115.webp,,PEN,,001,,009,,115,,Precio pendiente,1,,disponible,,
pendiente_038_001,PEN-001-012-116.webp,,PEN,,001,,012,,116,,Precio pendiente,1,,disponible,,
pendiente_038_002,PEN-001-012-117.webp,,PEN,,001,,012,,117,,Precio pendiente,1,,disponible,,
pendiente_038_003,PEN-001-012-118.webp,,PEN,,001,,012,,118,,Precio pendiente,1,,disponible,,
pendiente_039_001,PEN-001-005-119.webp,,PEN,,001,,005,,119,,Precio pendiente,1,,disponible,,
pendiente_039_002,PEN-001-005-120.webp,,PEN,,001,,005,,120,,Precio pendiente,1,,disponible,,
pendiente_039_003,PEN-001-005-121.webp,,PEN,,001,,005,,121,,Precio pendiente,1,,disponible,,
pendiente_040_001,PEN-001-006-122.webp,,PEN,,001,,006,,122,,Precio pendiente,1,,disponible,,
pendiente_040_002,PEN-001-006-123.webp,,PEN,,001,,006,,123,,Precio pendiente,1,,disponible,,
pendiente_040_003,PEN-001-006-124.webp,,PEN,,001,,006,,124,,Precio pendiente,1,,disponible,,
pendiente_041_001,PEN-001-013-125.webp,,PEN,,001,,013,,125,,Precio pendiente,1,,disponible,,
pendiente_041_002,PEN-001-013-126.webp,,PEN,,001,,013,,126,,Precio pendiente,1,,disponible,,
pendiente_041_003,PEN-001-013-127.webp,,PEN,,001,,013,,127,,Precio pendiente,1,,disponible,,
pendiente_042_001,PEN-001-002-128.webp,,PEN,,001,,002,,128,,Precio pendiente,1,,disponible,,
pendiente_042_002,PEN-001-002-129.webp,,PEN,,001,,002,,129,,Precio pendiente,1,,disponible,,
pendiente_042_003,PEN-001-002-130.webp,,PEN,,001,,002,,130,,Precio pendiente,1,,disponible,,
pendiente_043_001,PEN-001-009-131.webp,,PEN,,001,,009,,131,,Precio pendiente,1,,disponible,,
pendiente_043_002,PEN-001-009-132.webp,,PEN,,001,,009,,132,,Precio pendiente,1,,disponible,,
pendiente_043_003,PEN-001-009-133.webp,,PEN,,001,,009,,133,,Precio pendiente,1,,disponible,,
pendiente_044_001,PEN-001-013-134.webp,,PEN,,001,,013,,134,,Precio pendiente,1,,disponible,,
pendiente_044_002,PEN-001-013-135.webp,,PEN,,001,,013,,135,,Precio pendiente,1,,disponible,,
pendiente_044_003,PEN-001-013-136.webp,,PEN,,001,,013,,136,,Precio pendiente,1,,disponible,,
pendiente_045_001,PEN-001-005-137.webp,,PEN,,001,,005,,137,,Precio pendiente,1,,disponible,,
pendiente_045_002,PEN-001-005-138.webp,,PEN,,001,,005,,138,,Precio pendiente,1,,disponible,,
pendiente_045_003,PEN-001-005-139.webp,,PEN,,001,,005,,139,,Precio pendiente,1,,disponible,,
pendiente_046_001,PEN-001-007-140.webp,,PEN,,001,,007,,140,,Precio pendiente,1,,disponible,,
pendiente_046_002,PEN-001-007-141.webp,,PEN,,001,,007,,141,,Precio pendiente,1,,disponible,,
pendiente_046_003,PEN-001-007-142.webp,,PEN,,001,,007,,142,,Precio pendiente,1,,disponible,,
pendiente_047_001,PEN-001-013-143.webp,,PEN,,001,,013,,143,,Precio pendiente,1,,disponible,,
pendiente_047_002,PEN-001-013-144.webp,,PEN,,001,,013,,144,,Precio pendiente,1,,disponible,,
pendiente_047_003,PEN-001-013-145.webp,,PEN,,001,,013,,145,,Precio pendiente,1,,disponible,,
pendiente_048_001,PEN-001-009-146.webp,,PEN,,001,,009,,146,,Precio pendiente,1,,disponible,,
pendiente_048_002,PEN-001-009-147.webp,,PEN,,001,,009,,147,,Precio pendiente,1,,disponible,,
pendiente_048_003,PEN-001-009-148.webp,,PEN,,001,,009,,148,,Precio pendiente,1,,disponible,,
pendiente_049_001,PEN-002-001-149.webp,,PEN,,002,,001,,149,,Precio pendiente,1,,disponible,,
pendiente_049_002,PEN-002-001-150.webp,,PEN,,002,,001,,150,,Precio pendiente,1,,disponible,,
pendiente_049_003,PEN-002-001-151.webp,,PEN,,002,,001,,151,,Precio pendiente,1,,disponible,,
pendiente_050_001,PEN-001-013-152.webp,,PEN,,001,,013,,152,,Precio pendiente,1,,disponible,,
pendiente_050_002,PEN-001-013-153.webp,,PEN,,001,,013,,153,,Precio pendiente,1,,disponible,,
pendiente_050_003,PEN-001-013-154.webp,,PEN,,001,,013,,154,,Precio pendiente,1,,disponible,,
pendiente_051_001,PEN-001-009-155.webp,,PEN,,001,,009,,155,,Precio pendiente,1,,disponible,,
pendiente_051_002,PEN-001-009-156.webp,,PEN,,001,,009,,156,,Precio pendiente,1,,disponible,,
pendiente_051_003,PEN-001-009-157.webp,,PEN,,001,,009,,157,,Precio pendiente,1,,disponible,,
pendiente_052_001,PEN-002-001-158.webp,,PEN,,002,,001,,158,,Precio pendiente,1,,disponible,,
pendiente_052_002,PEN-002-001-159.webp,,PEN,,002,,001,,159,,Precio pendiente,1,,disponible,,
pendiente_052_003,PEN-002-001-160.webp,,PEN,,002,,001,,160,,Precio pendiente,1,,disponible,,
pendiente_053_001,PEN-001-009-161.webp,,PEN,,001,,009,,161,,Precio pendiente,1,,disponible,,
pendiente_053_002,PEN-001-009-162.webp,,PEN,,001,,009,,162,,Precio pendiente,1,,disponible,,
pendiente_053_003,PEN-001-009-163.webp,,PEN,,001,,009,,163,,Precio pendiente,1,,disponible,,
pendiente_054_001,PEN-001-004-164.webp,,PEN,,001,,004,,164,,Precio pendiente,1,,disponible,,
